company,use_case_name,business_function,ai_type,outcome,source_link,ai_type_slug,business_function_slug
Amazon,Demand Forecasting with DeepAR,Supply Chain,Time Series (DL),"Reduced inventory waste, improved stock accuracy across warehouses",https://aws.amazon.com/blogs/aws/forecasting-amazon-coms-demand-with-deep-learning/,time_series_(dl),supply_chain
Netflix,Content Recommendation Engine,Marketing/UX,Recommendation,75% of viewing driven by personalized recommendations,https://netflixtechblog.com/,recommendation,marketing/ux
Google,Smart Reply in Gmail,Customer Communication,NLP,Increased user productivity by ~10% through one-click email replies,https://ai.googleblog.com/2017/05/announcing-smart-reply-in-gmail.html,nlp,customer_communication
BMW,Visual Inspection for Car Defects,Manufacturing/Quality,Computer Vision,"Reduced error detection time by 50%, increased consistency",https://www.microsoft.com/en-us/ai/ai-lab-bmw-quality-inspection,computer_vision,manufacturing/quality
Zara,AI-Driven Trend Prediction,Fashion/Design,Predictive Modeling,Faster collection development aligned with customer preferences,https://www.inditex.com/documents/10279/645708/Inditex_AR_2019_EN.pdf,predictive_modeling,fashion/design
Spotify,AI Playlist Personalization,Marketing/Product,Recommendation,Increased user retention and engagement by tailoring playlists,https://engineering.atspotify.com/,recommendation,marketing/product
Tesla,Full Self-Driving (FSD) Beta,Operations/Logistics,Deep Learning (CV),"Real-time road analysis, dynamic routing, improved safety",https://www.tesla.com/AI,deep_learning_(cv),operations/logistics
Unilever,Talent Recruitment Chatbot,HR,Conversational AI,"Reduced screening time by 75%, improved candidate satisfaction",https://www.unilever.com/news/news-search/2018/hirevue-ai-powered-interviewing/,conversational_ai,hr
IBM,Watson for Oncology,Healthcare/R&D,NLP + ML,Provided personalized treatment recommendations in hospitals,https://www.ibm.com/watson-health,nlp_+_ml,healthcare/r&d
Airbnb,Dynamic Pricing Optimization,Revenue Management,Predictive Modeling,Increased revenue per night based on real-time demand forecasts,https://medium.com/airbnb-engineering/pricing-at-airbnb-6e2e8d290d6e,predictive_modeling,revenue_management
Nike,Personalized Shopping Recommendations,E-commerce,Machine Learning,Boosted conversion rates through tailored product suggestions,https://www.nike.com,machine_learning,e-commerce
Meta,Hate Speech Detection,Content Moderation,NLP,"Removed harmful content automatically, improving user safety",https://ai.facebook.com,nlp,content_moderation
Uber,ETA Prediction with ML,Logistics,Time Series + Regression,Improved rider and driver satisfaction via more accurate ETAs,https://eng.uber.com/eta-ml/,time_series_+_regression,logistics
Adobe,AI-powered Photo Editing (Sensei),Creative Tools,Computer Vision,Enabled automated photo tagging and background removal,https://blog.adobe.com/en/publish/2021/10/26/what-is-adobe-sensei,computer_vision,creative_tools
Alibaba,Smart Logistics with AI,Supply Chain,Optimization + ML,Shortened delivery times during Singles Day by 30%,https://damo.alibaba.com/labs/intelligent-logistics,optimization_+_ml,supply_chain
Salesforce,Einstein AI for CRM,Sales & Marketing,Predictive Analytics,Improved lead scoring and customer retention,https://www.salesforce.com/products/einstein/overview/,predictive_analytics,sales_&_marketing
Siemens,Predictive Maintenance in Factories,Manufacturing,IoT + ML,Prevented equipment downtime and improved efficiency,https://new.siemens.com/global/en/company/topic-areas/digital-enterprise/predictive-maintenance.html,iot_+_ml,manufacturing
TikTok,Content Recommendation Algorithm,Engagement/UX,Recommendation,Massive user retention through short-form content personalization,https://www.tiktok.com/business/en/blog/how-tiktok-recommends-videos,recommendation,engagement/ux
Intel,AI Chip Design Automation,Engineering/R&D,Deep Reinforcement Learning,Reduced chip design time and resource cost,https://www.intel.com/content/www/us/en/research/blog/using-ai-for-chip-design.html,deep_reinforcement_learning,engineering/r&d
Walmart,In-store Customer Heat Mapping,Retail Analytics,Computer Vision,Optimized product placement by analyzing foot traffic,https://www.cbinsights.com/company/walmart/technology,computer_vision,retail_analytics
Samsung,AI-enhanced Camera Scene Detection,Consumer Electronics,Computer Vision,Improved mobile photography with smart auto-tuning,https://news.samsung.com/global/what-is-scene-optimizer-the-intelligent-camera-feature-of-the-galaxy-s10,computer_vision,consumer_electronics
Microsoft,Translator for Teams,Communication Tools,NLP + Speech Recognition,Enabled real-time multilingual collaboration in meetings,https://www.microsoft.com/en-us/translator/business/teams/,nlp_+_speech_recognition,communication_tools
L’Oréal,AI Skin Diagnostic Tool,Customer Experience,Computer Vision,Enabled personalized skincare advice online,https://www.loreal.com/en/articles/technology/ai-skin-diagnosis/,computer_vision,customer_experience
Baidu,Autonomous Taxi Platform,Mobility,Computer Vision + RL,Launched self-driving taxis in China,https://apollo.auto/,computer_vision_+_rl,mobility
Nestlé,AI in Product R&D,Food & Beverage,ML + Simulation,Accelerated new product formulation using ingredient simulations,https://www.nestle.com/research/technology/ai,ml_+_simulation,food_&_beverage
