company,Use Case Name,Business Function,AI Type,Outcome,Source Link
Amazon,Demand Forecasting with DeepAR,Supply Chain,Time Series (DL),"Reduced inventory waste, improved stock accuracy across warehouses",https://aws.amazon.com/blogs/aws/forecasting-amazon-coms-demand-with-deep-learning/
Netflix,Content Recommendation Engine,Marketing/UX,Recommendation,75% of viewing driven by personalized recommendations,https://netflixtechblog.com/
Google,Smart Reply in Gmail,Customer Communication,NLP,Increased user productivity by ~10% through one-click email replies,https://ai.googleblog.com/2017/05/announcing-smart-reply-in-gmail.html
BMW,Visual Inspection for Car Defects,Manufacturing/Quality,Computer Vision,"Reduced error detection time by 50%, increased consistency",https://www.microsoft.com/en-us/ai/ai-lab-bmw-quality-inspection
Zara,AI-Driven Trend Prediction,Fashion/Design,Predictive Modeling,Faster collection development aligned with customer preferences,https://www.inditex.com/documents/10279/645708/Inditex_AR_2019_EN.pdf
Spotify,AI Playlist Personalization,Marketing/Product,Recommendation,Increased user retention and engagement by tailoring playlists,https://engineering.atspotify.com/
Tesla,Full Self-Driving (FSD) Beta,Operations/Logistics,Deep Learning (CV),"Real-time road analysis, dynamic routing, improved safety",https://www.tesla.com/AI
Unilever,Talent Recruitment Chatbot,HR,Conversational AI,"Reduced screening time by 75%, improved candidate satisfaction",https://www.unilever.com/news/news-search/2018/hirevue-ai-powered-interviewing/
IBM,Watson for Oncology,Healthcare/R&D,NLP + ML,Provided personalized treatment recommendations in hospitals,https://www.ibm.com/watson-health
Airbnb,Dynamic Pricing Optimization,Revenue Management,Predictive Modeling,Increased revenue per night based on real-time demand forecasts,https://medium.com/airbnb-engineering/pricing-at-airbnb-6e2e8d290d6e
Nike,Personalized Shopping Recommendations,E-commerce,Machine Learning,Boosted conversion rates through tailored product suggestions,https://www.nike.com
Meta,Hate Speech Detection,Content Moderation,NLP,"Removed harmful content automatically, improving user safety",https://ai.facebook.com
Uber,ETA Prediction with ML,Logistics,Time Series + Regression,Improved rider and driver satisfaction via more accurate ETAs,https://eng.uber.com/eta-ml/
Adobe,AI-powered Photo Editing (Sensei),Creative Tools,Computer Vision,Enabled automated photo tagging and background removal,https://blog.adobe.com/en/publish/2021/10/26/what-is-adobe-sensei
Alibaba,Smart Logistics with AI,Supply Chain,Optimization + ML,Shortened delivery times during Singles Day by 30%,https://damo.alibaba.com/labs/intelligent-logistics
Salesforce,Einstein AI for CRM,Sales & Marketing,Predictive Analytics,Improved lead scoring and customer retention,https://www.salesforce.com/products/einstein/overview/
Siemens,Predictive Maintenance in Factories,Manufacturing,IoT + ML,Prevented equipment downtime and improved efficiency,https://new.siemens.com/global/en/company/topic-areas/digital-enterprise/predictive-maintenance.html
